,0
Bundesamt für Wasser und Geologie Landeshydrologie und -geologie LHG,
Strittmatter + Partner AG,AG
Swiss Center for Electronics and Microtech. ,
Stiftung Landschaftsschutz Schweiz,
Arche Verlag AG,AG
Commission du Centre Suisse en Côte d'Ivoire,
Stiftung Bibliothek Werner Oechslin,
Kommission für das Corpus philosophorum medii aevi der SGG,
"Architektur, Holz und Bau Berner Fachhochschule",
Kuratorium der Helvetia Sacra c/o Staatsarchiv Basel,BS
Forschungszentrum für Gebärdensprache,
Département des constructions et des technologies de l'information (DCTI),
Bildungsplanung / Biblothek Bildungsdirektion des Kantons Zürich,ZH
Organizzazione sociopsichiatrica cantonale,
Literargymnasium Kantonsschule Rämibühl Zürich,ZH
Archäologie und Kantonsmuseum Kanton Basel-Landschaft Regierungsgebäude,
"Dienststelle für Hochbau, Denkmalpflege und Archäologie",
Capo Divisione Istituti e Servizi Dipartimento delle Opere Sociali,
Econat,
Archives D'Etat de Genève Etat de Genève,GE
Vindonissa Museum,
Centre suisse de recherche et d'information sur le vitrail,
Theologisches Seminar Bienenberg,
École des Hautes Études Commerciales Université de Lausanne,VD
Kantonale Denkmalpflege Zug,ZG
Vereinigung Walliser Museen (VWM),
Arbeitslehrerinnenseminar des Kantons Zürich,ZH
Centre de recherche MISC Faculté des sciences sociales et politiques Université de Lausanne,VD
Centre de conservation de la faune et de la nature Bibliothèque,
Archives d'Etat de Genève,GE
Centre de Recherche sur le Phénomène Urbain (CREPU/EAUG),
Staatsarchiv Fribourg,FR
Sottas formative works,
Wissensstadt Davos,GR
Kommission für klassische und orientalische Archäologie Archäologisches Seminar,
Vitrocentre Romont,FR
Konkordat der Schweizerischen Krankenkassen,
Muséum d'Histoire Naturelle,FR
Abteilung Biochemie Biozentrum Universität Basel,BS
Scuola cantonale supperiore di commercio,
Historisches Lexikon der Schweiz,
Inst. Suisse de Spéléologie et Karstologie ,
Römerstadt Augusta Raurica,
Bundesamt für Umwelt BAFU,
Ecole supérieur de commerce de la ville de Sion,VS
Service archéologique Canton de Fribourg,FR
Historische und Antiquarische Gesellschaft zu Basel,BS
Dokuzentrum Gesundheitswesen,
"Faculté des sciences économiques et sociales, Décanat Université de Genève",GE
Numerische Vorhersagen Analyse und Prognose - Zürich MeteoSchweiz,
Fachhochschule Ostschweiz ,
Musée Forel,
Verein Feministische Wissenschaft Schweiz,
Forschungsanstalten Agroscope ,
UNI: Selbsthilfegruppe der Prostitutierten Praha TS,
Bündner Naturmuseum Bibliothek,
Bundesamt für Justiz Hauptabteilung Staats- und Verwaltungsrecht,
Stiftung Ziegelei-Museum,
Istituto Batteriosierologico Cantonale,
Friedrich Miescher Institute ,
United Nations Research Institute for Social Development (UNRISD),
Sezione dell'azione sociale,
Kantonsschule Schlossfeld,
"Archäologie, Bauhütte Stiftung Pro Kloster St. Johann in Müstair",GR
ViaStoria - Zentrum für Verkehrsgeschichte Kulturwege Schweiz,
Kantonsschule Baden,AG
Schweiz. Akademie der med. Wissen- schaften /Pathophysiolog. Institut,
Collège Cantonal Saint-Michel,
Bundesamt für Sozialversicherung,
Stiftung für Forschung in Spätantike und Mittelalter,
International Society of Electrochemistry,
Association Vaudoise des Chercheurs en Physique,
Bibliothek Staatsarchiv des Kantons Zürich,ZH
Geobotanische Kommission der SNG,
Erwerbungsabteilung Zentralbibliothek Luzern,LU
AGRIDEA,
Fachhochschule Nordwestschweiz ,
Franklin University Switzerland ,
Schweiz. Fachstelle für behindertengerechtes Bauen,
Laboratorio di Storia delle Alpi (LabiSAlp) Accademia di architettura Università della Svizzera italiana,
Fachstelle Lebensräume für Menschen mit einer geistigen Behinderung,
Archivio di Stato del Canton Ticino,TI
Pestalozzianum,
Swiss Institute of Bioinformatics ,
Cinémathèque suisse Centre d'Archivage,
Université de Neuchâtel ,
Karl-Jaspers-Stiftung,
Hochschule Luzern ,LU
Erziehungsdepartement Obwalden,OW
Agrogen-Stiftung,
Eidg. Departement für auswärtige Angelegenheiten,
Kompetenzzentrum für Gender Studies (KGS) Koordinationsstelle,
Kantonsarchäologie Schaffhausen,SH
Forschungsgruppe für Management im Gesundheitswesen an der Fachhoch- schule für Wirtschaft St. Gallen,SG
GGG,
Wissenschaftliche Nationalpark- Kommission Institut de Zoologie,
Département de l'instruction publique Service de la recherche en éducation Bibliothèque,
Ufficio geologico cantonale,
J.-v.-Müller-Kuratorium,
Universität St. Gallen ,SG
"Radar, Satellite and Nowcasting Division Meteo Svizzera",
Amt für Wasserwirtschaft,
Eidg. Material und Prüfungsanstalt ,
Université de Lausanne ,VD
Verein Arbeitsstelle Schweiz des RISM,
Kantonale Denkmalpflege,
